"All groups CPI, Australia, quarterly and annual movement (%)"
,"Change from previous quarter (%)","Annual change (%)"
"Mar-13","0.4","2.5"
"Jun-13","0.4","2.4"
"Sep-13","1.2","2.2"
"Dec-13","0.8","2.7"
"Mar-14","0.6","2.9"
"Jun-14","0.5","3.0"
"Sep-14","0.5","2.3"
"Dec-14","0.2","1.7"
"Mar-15","0.2","1.3"
"Jun-15","0.7","1.5"
"Sep-15","0.5","1.5"
"Dec-15","0.4","1.7"
"Mar-16","-0.2","1.3"
"Jun-16","0.4","1.0"
"Sep-16","0.7","1.3"
"Dec-16","0.5","1.5"
"Mar-17","0.5","2.1"
"Jun-17","0.2","1.9"
"Sep-17","0.6","1.8"
"Dec-17","0.6","1.9"
"Mar-18","0.4","1.9"
"Jun-18","0.4","2.1"
"Sep-18","0.4","1.9"
"Dec-18","0.5","1.8"
"Mar-19","0","1.3"
"Jun-19","0.6","1.6"
"Sep-19","0.5","1.7"
"Dec-19","0.7","1.8"
"Mar-20","0.3","2.2"
"Jun-20","-1.9","-0.3"
"Sep-20","1.6","0.7"
"Dec-20","0.9","0.9"
"Mar-21","0.6","1.1"
"Jun-21","0.8","3.8"
"Sep-21","0.8","3.0"
"Dec-21","1.3","3.5"
"Mar-22","2.1","5.1"
"Jun-22","1.8","6.1"
"Sep-22","1.8","7.3"
"Dec-22","1.9","7.8"
"Mar-23","1.4","7.0"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March Quarter 2023"
